?SNDlib native format; type: network; version: 1.0
# network zib54

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  N1 ( 218.00 239.00 )
  N2 ( 274.00 580.00 )
  N3 ( 499.00 431.00 )
  N4 ( 243.00 493.00 )
  N5 ( 312.00 458.00 )
  N6 ( 109.00 576.00 )
  N7 ( 401.00 342.00 )
  N8 ( 63.00 352.00 )
  N9 ( 175.00 561.00 )
  N10 ( 248.00 418.00 )
  N11 ( 188.00 334.00 )
  N12 ( 408.00 608.00 )
  N13 ( 275.00 461.00 )
  N14 ( 176.00 513.00 )
  N15 ( 398.00 216.00 )
  N16 ( 127.00 517.00 )
  N17 ( 414.00 446.00 )
  N18 ( 417.00 377.00 )
  N19 ( 229.00 387.00 )
  N20 ( 578.00 484.00 )
  N21 ( 444.00 512.00 )
  N22 ( 222.00 526.00 )
  N23 ( 141.00 138.00 )
  N24 ( 315.00 165.00 )
  N25 ( 345.00 225.00 )
  N26 ( 347.00 309.00 )
  N27 ( 165.00 310.00 )
  N28 ( 173.00 235.00 )
  N29 ( 413.00 308.00 )
  N30 ( 341.00 481.00 )
  N31 ( 430.00 162.00 )
  N32 ( 196.00 599.00 )
  N33 ( 103.00 369.00 )
  N34 ( 428.00 477.00 )
  N35 ( 108.00 300.00 )
  N36 ( 302.00 423.00 )
  N37 ( 207.00 362.00 )
  N38 ( 117.00 438.00 )
  N39 ( 376.00 185.00 )
  N40 ( 75.00 521.00 )
  N41 ( 137.00 388.00 )
  N42 ( 69.00 447.00 )
  N43 ( 530.00 491.00 )
  N44 ( 247.00 553.00 )
  N45 ( 488.00 325.00 )
  N46 ( 270.00 277.00 )
  N47 ( 444.00 119.00 )
  N48 ( 367.00 151.00 )
  N49 ( 401.00 415.00 )
  N50 ( 294.00 606.00 )
  N51 ( 489.00 500.00 )
  N52 ( 391.00 565.00 )
  N53 ( 420.00 195.00 )
  N54 ( 176.00 396.00 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
  L1_N1_N23 ( N1 N23 ) 0.00 0.00 0.00 0.00 ( 2016.00 427512.78 )
  L2_N3_N21 ( N3 N21 ) 0.00 0.00 0.00 0.00 ( 2016.00 147418.20 )
  L3_N3_N45 ( N3 N45 ) 0.00 0.00 0.00 0.00 ( 2016.00 147418.20 )
  L4_N6_N32 ( N6 N32 ) 0.00 0.00 0.00 0.00 ( 2016.00 442254.60 )
  L5_N6_N40 ( N6 N40 ) 0.00 0.00 0.00 0.00 ( 2016.00 633898.26 )
  L6_N7_N26 ( N7 N26 ) 0.00 0.00 0.00 0.00 ( 2016.00 117934.56 )
  L7_N8_N23 ( N8 N23 ) 0.00 0.00 0.00 0.00 ( 2016.00 353803.68 )
  L8_N8_N38 ( N8 N38 ) 0.00 0.00 0.00 0.00 ( 2016.00 530705.52 )
  L9_N8_N42 ( N8 N42 ) 0.00 0.00 0.00 0.00 ( 2016.00 913992.84 )
  L10_N10_N19 ( N10 N19 ) 0.00 0.00 0.00 0.00 ( 2016.00 162160.02 )
  L11_N11_N27 ( N11 N27 ) 0.00 0.00 0.00 0.00 ( 2016.00 324320.04 )
  L12_N11_N37 ( N11 N37 ) 0.00 0.00 0.00 0.00 ( 2016.00 221127.30 )
  L13_N12_N50 ( N12 N50 ) 0.00 0.00 0.00 0.00 ( 2016.00 250610.94 )
  L14_N13_N5 ( N13 N5 ) 0.00 0.00 0.00 0.00 ( 2016.00 162160.02 )
  L15_N13_N10 ( N13 N10 ) 0.00 0.00 0.00 0.00 ( 2016.00 633898.26 )
  L16_N14_N4 ( N14 N4 ) 0.00 0.00 0.00 0.00 ( 2016.00 132676.38 )
  L17_N14_N16 ( N14 N16 ) 0.00 0.00 0.00 0.00 ( 2016.00 250610.94 )
  L18_N15_N39 ( N15 N39 ) 0.00 0.00 0.00 0.00 ( 2016.00 132676.38 )
  L19_N15_N53 ( N15 N53 ) 0.00 0.00 0.00 0.00 ( 2016.00 206385.48 )
  L20_N16_N40 ( N16 N40 ) 0.00 0.00 0.00 0.00 ( 2016.00 235869.12 )
